count,entity,label,location_info
2,Starbucks,ORG,"{'place_id': 347438031, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1179837462, 'lat': '44.8994326', 'lon': '-91.93244434444182', 'class': 'amenity', 'type': 'cafe', 'place_rank': 30, 'importance': 0.6055578083028221, 'addresstype': 'amenity', 'name': 'Starbucks', 'display_name': 'Starbucks, 1431, North Broadway Street, North Menomonie, Menomonie, Dunn County, Wisconsin, 54751, United States', 'boundingbox': ['44.8993812', '44.8994815', '-91.9325922', '-91.9322967']}"
1,National Labor Relations Board,ORG,"{'place_id': 346578673, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 6373682413, 'lat': '40.6917685', 'lon': '-89.5900285', 'class': 'office', 'type': 'government', 'place_rank': 30, 'importance': 6.598992904550267e-05, 'addresstype': 'office', 'name': 'National Labor Relations Board -- Subregional Office 33', 'display_name': 'National Labor Relations Board -- Subregional Office 33, 101, Southwest Adams Street, Central Business District, Peoria, Peoria County, Illinois, 61602, United States', 'boundingbox': ['40.6917185', '40.6918185', '-89.5900785', '-89.5899785']}"
1,Mara-Louise Anzalone,PER,"(None, None)"
393,Singapore,LOC,"{'place_id': 236496004, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 536780, 'lat': '1.357107', 'lon': '103.8194992', 'class': 'boundary', 'type': 'administrative', 'place_rank': 4, 'importance': 0.798646631014982, 'addresstype': 'country', 'name': 'Singapore', 'display_name': 'Singapore', 'boundingbox': ['1.1285402', '1.5143183', '103.5666667', '104.5716696']}"
1,Su Wenqiang,PER,"(None, None)"
4,Fujian,LOC,"{'place_id': 209467482, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 553303, 'lat': '26.193218', 'lon': '118.2208721', 'class': 'boundary', 'type': 'administrative', 'place_rank': 8, 'importance': 0.7037903464915051, 'addresstype': 'state', 'name': '福建省', 'display_name': '福建省, 中国', 'boundingbox': ['23.1994837', '28.3205229', '115.8473109', '121.0336638']}"
1,Good Class Bungalow,LOC,"(None, None)"
1,Lewis Road,LOC,"{'place_id': 90733987, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4955904, 'lat': '51.431811206476', 'lon': '0.11671537706495001', 'class': 'highway', 'type': 'residential', 'place_rank': 26, 'importance': 0.053426412603952055, 'addresstype': 'road', 'name': 'Lewis Road', 'display_name': 'Lewis Road, Albany Park, London Borough of Bexley, London, Greater London, England, DA14 4NA, United Kingdom', 'boundingbox': ['51.4296468', '51.4322801', '0.1161113', '0.1193791']}"
2,Bukit Timah,LOC,"{'place_id': 234242016, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 394490687, 'lat': '1.3546901', 'lon': '103.7763724', 'class': 'natural', 'type': 'peak', 'place_rank': 18, 'importance': 0.4391285788704535, 'addresstype': 'peak', 'name': 'Bukit Timah Hill', 'display_name': 'Bukit Timah Hill, Singapore, 589333, Singapore', 'boundingbox': ['1.3546401', '1.3547401', '103.7763224', '103.7764224']}"
32,European Union,ORG,"{'place_id': 30458833, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4525890192, 'lat': '-24.6423816', 'lon': '25.9131082', 'class': 'office', 'type': 'diplomatic', 'place_rank': 30, 'importance': 6.510032806892527e-05, 'addresstype': 'office', 'name': 'European Union', 'display_name': 'European Union, Nyerere Drive, Nyere Drive, Gaborone, Botswana', 'boundingbox': ['-24.6424316', '-24.6423316', '25.9130582', '25.9131582']}"
103,United States,LOC,"{'place_id': 45852144, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 148838, 'lat': '39.7837304', 'lon': '-100.445882', 'class': 'boundary', 'type': 'administrative', 'place_rank': 4, 'importance': 1.0, 'addresstype': 'country', 'name': 'United States', 'display_name': 'United States', 'boundingbox': ['-14.7608358', '71.5889534', '-180.0000000', '180.0000000']}"
1,European Data Protection Board,ORG,"{'place_id': 96291726, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 6782145052, 'lat': '50.8412578', 'lon': '4.3704363', 'class': 'office', 'type': 'government', 'place_rank': 30, 'importance': 0.4291396199140783, 'addresstype': 'office', 'name': 'EDPB', 'display_name': 'EDPB, Rue Montoyer - Montoyerstraat, Bruxelles - Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België / Belgique / Belgien', 'boundingbox': ['50.8412078', '50.8413078', '4.3703863', '4.3704863']}"
1,Irish Data Protection Commission,ORG,"(None, None)"
8,Meta,ORG,"{'place_id': 106877425, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 450381, 'lat': '49.1196964', 'lon': '6.1763552', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.6838064214753503, 'addresstype': 'city', 'name': 'Metz', 'display_name': 'Metz, Moselle, Grand Est, France métropolitaine, France', 'boundingbox': ['49.0608244', '49.1487955', '6.1360042', '6.2564510']}"
35,Europe,LOC,"{'place_id': 122828775, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 25871341, 'lat': '51.0', 'lon': '10.0', 'class': 'place', 'type': 'continent', 'place_rank': 2, 'importance': 0.8778887201599463, 'addresstype': 'continent', 'name': 'Europe', 'display_name': 'Europe', 'boundingbox': ['26.0000000', '76.0000000', '-15.0000000', '35.0000000']}"
38,EU,ORG,"{'place_id': 90399613, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1250222, 'lat': '50.0491699', 'lon': '1.4175744', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.5982662617742959, 'addresstype': 'village', 'name': 'Eu', 'display_name': 'Eu, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76260, France', 'boundingbox': ['50.0118964', '50.0758064', '1.3872517', '1.4733644']}"
1,General Data Protection Regulation,MEDIA,"(None, None)"
2,Zhang Ruijin,PER,"(None, None)"
3,Department of Education,ORG,"{'place_id': 239890186, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 30989140, 'lat': '14.57894', 'lon': '121.06490883581411', 'class': 'office', 'type': 'government', 'place_rank': 30, 'importance': 0.4487642700755621, 'addresstype': 'office', 'name': 'Department of Education', 'display_name': 'Department of Education, Meralco Avenue, Oranbo, Pasig First District, Pasig, Eastern Manila District, Metro Manila, 1605, Pilipinas', 'boundingbox': ['14.5777897', '14.5798878', '121.0637993', '121.0661282']}"
2,Liberty University,ORG,"{'place_id': 321074007, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 7112206, 'lat': '37.35394665', 'lon': '-79.1531533219339', 'class': 'amenity', 'type': 'university', 'place_rank': 30, 'importance': 0.5065197405734256, 'addresstype': 'amenity', 'name': 'Liberty University', 'display_name': 'Liberty University, 1971, University Boulevard, Lynchburg, Virginia, 24515, United States', 'boundingbox': ['37.3316680', '37.3760205', '-79.1886706', '-79.1235368']}"
3,Virginia,LOC,"{'place_id': 320426471, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 224042, 'lat': '37.1232245', 'lon': '-78.4927721', 'class': 'boundary', 'type': 'administrative', 'place_rank': 8, 'importance': 0.7830500743462198, 'addresstype': 'state', 'name': 'Virginia', 'display_name': 'Virginia, United States', 'boundingbox': ['36.5407896', '39.4660120', '-83.6753671', '-75.1664350']}"
2,Clery Act,MEDIA,"(None, None)"
2,Vienna,LOC,"{'place_id': 174222155, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 109166, 'lat': '48.2083537', 'lon': '16.3725042', 'class': 'boundary', 'type': 'administrative', 'place_rank': 7, 'importance': 0.8187832446377734, 'addresstype': 'city', 'name': 'Wien', 'display_name': 'Wien, Österreich', 'boundingbox': ['48.1179069', '48.3226679', '16.1818310', '16.5775132']}"
1,Sebastian Kurz,PER,"(None, None)"
1,Austrian People's Party,ORG,"(None, None)"
1,OeBAG,ORG,"(None, None)"
2,Didi Global,ORG,"{'place_id': 168718715, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 1004655705, 'lat': '51.491492699999995', 'lon': '18.20584217235237', 'class': 'landuse', 'type': 'industrial', 'place_rank': 22, 'importance': 0.10671666819256884, 'addresstype': 'industrial', 'name': 'Global', 'display_name': 'Global, Smolarnia, Jaźwiny, gmina Kraszewice, powiat ostrzeszowski, województwo wielkopolskie, Polska', 'boundingbox': ['51.4907306', '51.4918449', '18.2046961', '18.2080212']}"
2,Cyberspace Administration of China,ORG,"(None, None)"
1,Didi,PER,"{'place_id': 284474480, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 16025518, 'lat': '11.5489257', 'lon': '-9.6037658', 'class': 'boundary', 'type': 'administrative', 'place_rank': 16, 'importance': 0.2254967738420746, 'addresstype': 'town', 'name': 'Didi', 'display_name': 'Didi, Kankan, Guinée', 'boundingbox': ['11.3569950', '11.6590033', '-10.0201830', '-9.4731546']}"
1,Cheng Wei,PER,"{'place_id': 218324692, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 3282606, 'lat': '22.7817608', 'lon': '115.3599642', 'class': 'boundary', 'type': 'administrative', 'place_rank': 12, 'importance': 0.4545084971433622, 'addresstype': 'county', 'name': '城区', 'display_name': '城区, 汕尾市, 广东省, 中国', 'boundingbox': ['22.4465726', '22.9150251', '115.2046965', '115.7236350']}"
2,Liu Qing,PER,"{'place_id': 246707488, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4559456373, 'lat': '35.0276704', 'lon': '135.7515791', 'class': 'natural', 'type': 'tree', 'place_rank': 30, 'importance': 7.531471732657385e-05, 'addresstype': 'natural', 'name': '柳', 'display_name': '柳, 一條戻橋, 鷹司町, 徳屋町, 上京区, 京都市, 京都府, 602-0953, 日本', 'boundingbox': ['35.0276204', '35.0277204', '135.7515291', '135.7516291']}"
1,Jean Liu,PER,"(None, None)"
1,Brussels Criminal Court,ORG,"(None, None)"
2,Alfredo H.,PER,"{'place_id': 5505321, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 2297085758, 'lat': '-27.4426372', 'lon': '-58.9993298', 'class': 'amenity', 'type': 'pharmacy', 'place_rank': 30, 'importance': 5.529640650029782e-05, 'addresstype': 'amenity', 'name': 'Alfredo', 'display_name': 'Alfredo, Juan Domingo Perón, Villa 25 de Mayo y Pezzini, Resistencia, Municipio de Resistencia, Departamento San Fernando, Chaco, H3500BXB, Argentina', 'boundingbox': ['-27.4426872', '-27.4425872', '-58.9993798', '-58.9992798']}"
1,Indrit K.,PER,"{'place_id': 51198974, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 88213185, 'lat': '42.20846730480926', 'lon': '20.733209560663447', 'class': 'highway', 'type': 'residential', 'place_rank': 26, 'importance': 0.05339588082703895, 'addresstype': 'road', 'name': 'Indrit Cara', 'display_name': 'Indrit Cara, Prizren, Lagjja e Terzinjëve, Prizren, Komuna e Prizrenit / Opština Prizren / Prizren Belediyesi, Rajoni i Prizrenit / Prizrenski okrug, 20080, Kosova / Kosovo', 'boundingbox': ['42.2075820', '42.2090659', '20.7329213', '20.7335772']}"
1,Black Eagle,ORG,"{'place_id': 301615314, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 142358, 'lat': '47.526712', 'lon': '-111.2677657372142', 'class': 'boundary', 'type': 'census', 'place_rank': 25, 'importance': 0.3436054023541801, 'addresstype': 'locality', 'name': 'Black Eagle', 'display_name': 'Black Eagle, Great Falls, Cascade County, Montana, 59414, United States', 'boundingbox': ['47.5183560', '47.5350930', '-111.2910820', '-111.2426150']}"
1,Limburg,LOC,"{'place_id': 100577051, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 47793, 'lat': '51.2015196', 'lon': '5.9046302', 'class': 'boundary', 'type': 'administrative', 'place_rank': 8, 'importance': 0.6125303607118321, 'addresstype': 'state', 'name': 'Limburg', 'display_name': 'Limburg, Nederland', 'boundingbox': ['50.7503658', '51.7786273', '5.5660454', '6.2267694']}"
1,Majorca,LOC,"{'place_id': 46789827, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 2178883, 'lat': '39.613432', 'lon': '2.8829184529439633', 'class': 'boundary', 'type': 'political', 'place_rank': 25, 'importance': 0.6504593988070612, 'addresstype': 'political', 'name': 'Mallorca', 'display_name': 'Mallorca, Illes Balears, España', 'boundingbox': ['39.1207284', '39.9625085', '2.3030461', '3.4787522']}"
1,Prague 3 District Court,LOC,"(None, None)"
1,Dominik Feri,PER,"(None, None)"
2,Feri,PER,"{'place_id': 35965921, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 501362339, 'lat': '9.533333', 'lon': '7.166667', 'class': 'place', 'type': 'village', 'place_rank': 19, 'importance': 0.14670416800183103, 'addresstype': 'village', 'name': 'Feri', 'display_name': 'Feri, Paikoro, Niger, Nigeria', 'boundingbox': ['9.5133330', '9.5533330', '7.1466670', '7.1866670']}"
1,Prague Metropolitan Court,LOC,"(None, None)"
1,TOP 09,ORG,"{'place_id': 62094152, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 834446179, 'lat': '46.2019559', 'lon': '12.8300519', 'class': 'place', 'type': 'village', 'place_rank': 19, 'importance': 0.38189444930657906, 'addresstype': 'village', 'name': 'Toppo', 'display_name': 'Toppo, Travesio, Pordenone, Friuli-Venezia Giulia, 33090, Italia', 'boundingbox': ['46.1819559', '46.2219559', '12.8100519', '12.8500519']}"
1,Chamber of Deputies,ORG,"{'place_id': 73225346, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 5429217410, 'lat': '41.9017297', 'lon': '12.4787076', 'class': 'office', 'type': 'government', 'place_rank': 30, 'importance': 0.6472731788354344, 'addresstype': 'office', 'name': 'Camera dei deputati', 'display_name': ""Camera dei deputati, Cortile d'Onore, Colonna, Municipio Roma I, Roma, Roma Capitale, Lazio, 00186, Italia"", 'boundingbox': ['41.9016797', '41.9017797', '12.4786576', '12.4787576']}"
1,Sanjay Shah,PER,"{'place_id': 237453253, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'node', 'osm_id': 7664032187, 'lat': '18.959185', 'lon': '72.823862', 'class': 'amenity', 'type': 'hospital', 'place_rank': 30, 'importance': 7.599526970316652e-05, 'addresstype': 'amenity', 'name': 'Dr. Sanjay Shah Hospital', 'display_name': 'Dr. Sanjay Shah Hospital, Khemraj Shrikrishnadas Marg (Khetwadi Back Road), Girgaon, D Ward, Zone 1, Mumbai City, 400004, India', 'boundingbox': ['18.9591350', '18.9592350', '72.8238120', '72.8239120']}"
2,Dubai,LOC,"{'place_id': 397291375, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 4479752, 'lat': '25.074282349999997', 'lon': '55.18853865430702', 'class': 'boundary', 'type': 'administrative', 'place_rank': 25, 'importance': 0.6934036776052183, 'addresstype': 'administrative', 'name': 'دبي', 'display_name': 'دبي, الإمارات العربية المتحدة', 'boundingbox': ['24.6230661', '25.5250676', '54.7153981', '56.2032174']}"
1,Glostrup,LOC,"{'place_id': 137088333, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 2190423, 'lat': '55.6835672', 'lon': '12.4128011280619', 'class': 'boundary', 'type': 'administrative', 'place_rank': 14, 'importance': 0.47747752168109014, 'addresstype': 'municipality', 'name': 'Glostrup Kommune', 'display_name': 'Glostrup Kommune, Region Hovedstaden, 2600, Danmark', 'boundingbox': ['55.6579528', '55.7095173', '12.3678094', '12.4323710']}"
