PDF Path,Text,cleaned_text,final_cleaned_text,entities
1.pdf,"Pristina Airport – Possible administrative irregularity regarding tender procedures involving Vendor 1 and Vendor 2

Allegation

Two companies with the same owner took part at least three times in the same Airport tenders.

Background Information

The Kosovo citizen, Vendor 1 and Vendor 2 Representative, is the owner and Director of the Pristina-based Vendor 1 and also a 51% shareholder of the Pristina-Ljubljana-based company Vendor 2. Both companies have their residences at the same address in Pristina.

Both Vendor 1 and Vendor 2 submitted three times in 2003 for the same tenders:

Supply and Mounting of Sonic System in the Fire Station Building. Winner was Vendor 2 with €1,530 followed by Vendor 1 with €1,620. The third company, Vendor 3, did not provide a price offer.

Cabling of Flat Display Information System (FIDS). Winner was Vendor 1 with €15,919 followed by Vendor 2 with €19,248.70. The other two competitors, Vendor 3 and Vendor 4, offered prices of Euro 19,702 and Euro 21,045.

Purchase and fixing of Cramer Antenna. Winner was again Vendor 1 with €3,627.99 followed by Vendor 2 with €3,921. The other two competitors, Vendor 3 and Vendor 4, offered prices of €4,278 and €4,670.",pristina airport possible administrative irregularity regarding tender procedures involving vendor and vendor allegation two companies with the same owner took part at least three times in the same airport tenders background information the kosovo citizen vendor and vendor representative is the owner and director of the pristina based vendor and also a % shareholder of the pristina ljubljana based company vendor both companies have their residences at the same address in pristina both vendor and vendor submitted three times in for the same tenders supply and mounting of sonic system in the fire station building winner was vendor with followed by vendor with the third company vendor did not provide a price offer cabling of flat display information system (fids) winner was vendor with followed by vendor with the other two competitors vendor and vendor offered prices of euro and euro purchase and fixing of cramer antenna winner was again vendor with followed by vendor with the other two competitors vendor and vendor offered prices of and,pristina airport possible administrative irregularity regarding tender procedure involving vendor vendor allegation two company owner took part least three time airport tender background information kosovo citizen vendor vendor representative owner director pristina based vendor also shareholder pristina ljubljana based company vendor company residence address pristina vendor vendor submitted three time tender supply mounting sonic system fire station building winner wa vendor followed vendor third company vendor provide price offer cabling flat display information system fids winner wa vendor followed vendor two competitor vendor vendor offered price euro euro purchase fixing cramer antenna winner wa vendor followed vendor two competitor vendor vendor offered price,"[{'span': 'Pristina Airport', 'label': 'LOC', 'score': 0.9878244400024414, 'char_start_index': 0, 'char_end_index': 16}, {'span': 'Kosovo', 'label': 'LOC', 'score': 0.6840402483940125, 'char_start_index': 252, 'char_end_index': 258}, {'span': 'Pristina', 'label': 'LOC', 'score': 0.8974700570106506, 'char_start_index': 339, 'char_end_index': 347}, {'span': 'Vendor 1', 'label': 'ORG', 'score': 0.5035015940666199, 'char_start_index': 354, 'char_end_index': 362}, {'span': 'Pristina-Ljubljana', 'label': 'ORG', 'score': 0.7850359082221985, 'char_start_index': 397, 'char_end_index': 415}, {'span': 'Vendor 2', 'label': 'ORG', 'score': 0.9839608669281006, 'char_start_index': 430, 'char_end_index': 438}, {'span': 'Pristina', 'label': 'LOC', 'score': 0.9994365572929382, 'char_start_index': 500, 'char_end_index': 508}, {'span': 'Fire Station Building', 'label': 'LOC', 'score': 0.9608763456344604, 'char_start_index': 634, 'char_end_index': 655}, {'span': 'Vendor 3', 'label': 'ORG', 'score': 0.6018676161766052, 'char_start_index': 742, 'char_end_index': 750}, {'span': 'Cramer Antenna', 'label': 'ORG', 'score': 0.785894513130188, 'char_start_index': 1027, 'char_end_index': 1041}]"
1.pdf,"Investigative details

In his/her interviews conducted on 31st August and 14th September 2004, Vendor 1 and Vendor 2 Representative admitted that the fact that both Vendor 1 and Vendor 2 took part together in three Airport tenders put other competitors at a disadvantage, but alleged both companies have never exchanged information with regard to the price offers.

There were doubts whether both companies Vendor 3 and Vendor 4 exist and submitted bids for the three tenders. The ITF investigation, with support from the Kosovo Organised Crime Bureau (KOCB), has found no reference with regard to the existence of the alleged competitor Vendor 4 in Pristina. The alleged company Vendor 3 was found to be a supermarket located in Prizren.

The above-mentioned facts are already part of the ITF case no. 286/04 that was submitted to the International Prosecutor, UNMIK Department of Justice, in October 2004. On 1 December 2004, the ITF contacted the International Prosecutor for a legal assessment of this case. Although this case would clearly be a breach of Economic Law, there is no applicable law in Kosovo for the time being.",investigative details in hisher interviews conducted on st august and th september vendor and vendor representative admitted that the fact that both vendor and vendor took part together in three airport tenders put other competitors at a disadvantage but alleged both companies have never exchanged information with regard to the price offers there were doubts whether both companies vendor and vendor exist and submitted bids for the three tenders the itf investigation with support from the kosovo organised crime bureau (kocb) has found no reference with regard to the existence of the alleged competitor vendor in pristina the alleged company vendor was found to be a supermarket located in prizren the above mentioned facts are already part of the itf case no that was submitted to the international prosecutor unmik department of justice in october on december the itf contacted the international prosecutor for a legal assessment of this case although this case would clearly be a breach of economic law there is no applicable law in kosovo for the time being,investigative detail hisher interview conducted st august th september vendor vendor representative admitted fact vendor vendor took part together three airport tender put competitor disadvantage alleged company never exchanged information regard price offer doubt whether company vendor vendor exist submitted bid three tender itf investigation support kosovo organised crime bureau kocb ha found reference regard existence alleged competitor vendor pristina alleged company vendor wa found supermarket located prizren mentioned fact already part itf case wa submitted international prosecutor unmik department justice october december itf contacted international prosecutor legal assessment case although case would clearly breach economic law applicable law kosovo time,"[{'span': 'Kosovo Organised Crime Bureau', 'label': 'ORG', 'score': 0.999330997467041, 'char_start_index': 522, 'char_end_index': 551}, {'span': 'Vendor 4', 'label': 'ORG', 'score': 0.8923295140266418, 'char_start_index': 638, 'char_end_index': 646}, {'span': 'Pristina', 'label': 'LOC', 'score': 0.9999039173126221, 'char_start_index': 650, 'char_end_index': 658}, {'span': 'Vendor 3', 'label': 'ORG', 'score': 0.9290568828582764, 'char_start_index': 680, 'char_end_index': 688}, {'span': 'Prizren', 'label': 'LOC', 'score': 0.9999414682388306, 'char_start_index': 730, 'char_end_index': 737}, {'span': 'International Prosecutor', 'label': 'ORG', 'score': 0.5744901299476624, 'char_start_index': 836, 'char_end_index': 860}, {'span': 'UNMIK Department of Justice', 'label': 'ORG', 'score': 0.8825873732566833, 'char_start_index': 862, 'char_end_index': 889}, {'span': 'International Prosecutor', 'label': 'ORG', 'score': 0.5173543691635132, 'char_start_index': 950, 'char_end_index': 974}, {'span': 'Kosovo', 'label': 'LOC', 'score': 0.992750883102417, 'char_start_index': 1104, 'char_end_index': 1110}]"
10.pdf,"""An interoffice memorandum providing an “outstanding issues update to Official 2”, from DOTI Official 3 to Staff member 1 at the office of Official 2 dated 18 May 2001, could give rise to the suggestion that offers were provided by companies on 28 May 2001, and the Vendor had been chosen for the works in advance. However, a more likely explanation is the date of the interoffice memorandum has been incorrectly dated, since the document contains reference dates relating to project “events” which post date 18 May 2001. At paragraph 2b, the interoffice memorandum states that the Cargo Apron invitation to tender was based on summary documents.""",an interoffice memorandum providing an outstanding issues update to official from doti official to staff member at the office of official dated may could give rise to the suggestion that offers were provided by companies on may and the vendor had been chosen for the works in advance however a more likely explanation is the date of the interoffice memorandum has been incorrectly dated since the document contains reference dates relating to project events which post date may at paragraph b the interoffice memorandum states that the cargo apron invitation to tender was based on summary documents,interoffice memorandum providing outstanding issue update official doti official staff member office official dated may could give rise suggestion offer provided company may vendor chosen work advance however likely explanation date interoffice memorandum ha incorrectly dated since document contains reference date relating project event post date may paragraph b interoffice memorandum state cargo apron invitation tender wa based summary document,"[{'span': 'Cargo Apron', 'label': 'ORG', 'score': 0.8682616353034973, 'char_start_index': 582, 'char_end_index': 593}]"
10.pdf,"""Allegation 2 & 3:

(Specifically, three of the persons on the bid opening committee and evaluation committees were the same parties who should not have carried out both tasks.)

and

(The contract for the Cargo Apron Extension was not channeled through the Office of the Legal Adviser.)

The evaluation report dated 2 August 2001 is signed by three parties, who are also listed as having attended the bid opening session. This indicates that the composition of the bid opening committee and the evaluation committee overlapped.

When asked about this issue in interview DOTI Official 2 confirmed that he/she was both on the bid opening committee and was a member of the evaluation committee. He/she added that the people who evaluated the offers signed the evaluation report. This is in conflict with UN regulations, which segregate the two roles. An interoffice memorandum dated 24 September 2001 indicates that the contract for the Cargo Apron Extension had not been channeled through the Office of the Legal Adviser.""",allegation (specifically three of the persons on the bid opening committee and evaluation committees were the same parties who should not have carried out both tasks ) and (the contract for the cargo apron extension was not channeled through the office of the legal adviser ) the evaluation report dated august is signed by three parties who are also listed as having attended the bid opening session this indicates that the composition of the bid opening committee and the evaluation committee overlapped when asked about this issue in interview doti official confirmed that heshe was both on the bid opening committee and was a member of the evaluation committee heshe added that the people who evaluated the offers signed the evaluation report this is in conflict with un regulations which segregate the two roles an interoffice memorandum dated september indicates that the contract for the cargo apron extension had not been channeled through the office of the legal adviser,allegation specifically three person bid opening committee evaluation committee party carried task contract cargo apron extension wa channeled office legal adviser evaluation report dated august signed three party also listed attended bid opening session indicates composition bid opening committee evaluation committee overlapped asked issue interview doti official confirmed heshe wa bid opening committee wa member evaluation committee heshe added people evaluated offer signed evaluation report conflict un regulation segregate two role interoffice memorandum dated september indicates contract cargo apron extension channeled office legal adviser,"[{'span': 'Office of the Legal Adviser', 'label': 'ORG', 'score': 0.9995875954627991, 'char_start_index': 258, 'char_end_index': 285}, {'span': 'Office of the Legal Adviser', 'label': 'ORG', 'score': 0.9995002746582031, 'char_start_index': 992, 'char_end_index': 1019}]"
10.pdf,"""When asked about this in interview, the Divisional Manager stated: “Without seeing any other documents, on the face of it, it does appear that there could be a conflict of interest here. But the report was produced by a professional pavement engineer, at a laboratory. Therefore, one can assume a certain degree of integrity.”

The ITF notes that the PEAP Official indicated that he/she was unhappy about the Vendor self-certifying its work and he/she commented that the airport engineer should have questioned it.

The ITF does not have sufficient technical knowledge to assess the adequacy of the Vendor’s work. However, a letter from the Divisional Manager to Staff Member 3 dated 25 August 2002 gives rise to the possibility that it was not up to specification in certain areas.""",when asked about this in interview the divisional manager stated without seeing any other documents on the face of it it does appear that there could be a conflict of interest here but the report was produced by a professional pavement engineer at a laboratory therefore one can assume a certain degree of integrity the itf notes that the peap official indicated that heshe was unhappy about the vendor self certifying its work and heshe commented that the airport engineer should have questioned it the itf does not have sufficient technical knowledge to assess the adequacy of the vendors work however a letter from the divisional manager to staff member dated august gives rise to the possibility that it was not up to specification in certain areas,asked interview divisional manager stated without seeing document face doe appear could conflict interest report wa produced professional pavement engineer laboratory therefore one assume certain degree integrity itf note peap official indicated heshe wa unhappy vendor self certifying work heshe commented airport engineer questioned itf doe sufficient technical knowledge assess adequacy vendor work however letter divisional manager staff member dated august give rise possibility wa specification certain area,"[{'span': 'PEAP Official', 'label': 'ORG', 'score': 0.9696254730224609, 'char_start_index': 352, 'char_end_index': 365}]"
10.pdf,"""INVESTIGATION DETAILS

This part of the investigation relates to a tender for a contract for the extension of the Cargo Terminal Apron at Pristina Airport. The value of the contract was €774,318.63.

Allegation 1

(Specifically, the tender documents for the cargo apron did not comply with the requirements of Article 23.4 of the UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using Kosovo Consolidated Budget Funds, as they were based on summary documents and did not include clear instructions on drawings and plans.)

A note from the Project Engineer at the Evaluation Company to the PEAP Official, dated 31 January 2001, indicates that the Evaluation Company was commissioned to produce a preliminary design for the Cargo Terminal at Pristina Airport. The design also provided for the construction of the Cargo Apron Extension.""",investigation details this part of the investigation relates to a tender for a contract for the extension of the cargo terminal apron at pristina airport the value of the contract was allegation (specifically the tender documents for the cargo apron did not comply with the requirements of article of the unmik finance administrative instruction on public procurement using kosovo consolidated budget funds as they were based on summary documents and did not include clear instructions on drawings and plans ) a note from the project engineer at the evaluation company to the peap official dated january indicates that the evaluation company was commissioned to produce a preliminary design for the cargo terminal at pristina airport the design also provided for the construction of the cargo apron extension,investigation detail part investigation relates tender contract extension cargo terminal apron pristina airport value contract wa allegation specifically tender document cargo apron comply requirement article unmik finance administrative instruction public procurement using kosovo consolidated budget fund based summary document include clear instruction drawing plan note project engineer evaluation company peap official dated january indicates evaluation company wa commissioned produce preliminary design cargo terminal pristina airport design also provided construction cargo apron extension,"[{'span': 'Cargo Terminal Apron', 'label': 'LOC', 'score': 0.3853786587715149, 'char_start_index': 115, 'char_end_index': 135}, {'span': 'Pristina Airport', 'label': 'LOC', 'score': 0.999811589717865, 'char_start_index': 139, 'char_end_index': 155}, {'span': 'Evaluation Company', 'label': 'ORG', 'score': 0.6621403098106384, 'char_start_index': 585, 'char_end_index': 603}, {'span': 'Evaluation Company', 'label': 'ORG', 'score': 0.9363369345664978, 'char_start_index': 668, 'char_end_index': 686}, {'span': 'Cargo Terminal', 'label': 'LOC', 'score': 0.9591877460479736, 'char_start_index': 744, 'char_end_index': 758}, {'span': 'Pristina Airport', 'label': 'LOC', 'score': 0.9995526671409607, 'char_start_index': 762, 'char_end_index': 778}, {'span': 'Cargo Apron Extension', 'label': 'LOC', 'score': 0.9316418170928955, 'char_start_index': 833, 'char_end_index': 854}]"
10.pdf,"""At paragraph 4 of the Cargo Apron Extension evaluation report dated 2 August 2001, the committee notes that the bidding documents did not include clear instructions on drawing and plans. It therefore was recommended that negotiations be held with the lowest bidder, the Vendor, on further details of the scope of works.

In combination, the two documents suggest that the tender documents did not comply with Article 23.3 of the UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using Kosovo Consolidated Budget Funds.

When asked whether he/she was of the view that the tender documents complied with the provisions of Article 23.3 of the UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using Kosovo Consolidated Budget Funds, DOTI Official 2 conceded that if an engineer was asked this question, he/she would indicate that the tender specifications were technically deficient and did not comply with Article 23.3.""",at paragraph of the cargo apron extension evaluation report dated august the committee notes that the bidding documents did not include clear instructions on drawing and plans it therefore was recommended that negotiations be held with the lowest bidder the vendor on further details of the scope of works in combination the two documents suggest that the tender documents did not comply with article of the unmik finance administrative instruction on public procurement using kosovo consolidated budget funds when asked whether heshe was of the view that the tender documents complied with the provisions of article of the unmik finance administrative instruction on public procurement using kosovo consolidated budget funds doti official conceded that if an engineer was asked this question heshe would indicate that the tender specifications were technically deficient and did not comply with article,paragraph cargo apron extension evaluation report dated august committee note bidding document include clear instruction drawing plan therefore wa recommended negotiation held lowest bidder vendor detail scope work combination two document suggest tender document comply article unmik finance administrative instruction public procurement using kosovo consolidated budget fund asked whether heshe wa view tender document complied provision article unmik finance administrative instruction public procurement using kosovo consolidated budget fund doti official conceded engineer wa asked question heshe would indicate tender specification technically deficient comply article,[]
10.pdf,"""Until the end of June 2002, responsibility for the administration of the Pristina Airport was entrusted to the Civil Administration Pillar (Pillar II) of UNMIK, including Official 1 and Official 2. Pillar II supervised DOTI Official 1 (Department of Transport and Infrastructure). The DOTI was later known as the Transport Sector of the UNMIK Directorate of Infrastructure Affairs. DOTI Official 1 left UNMIK at the end of June 2002. DOTI Official 2 was recruited by the DOTI as an international staff member on 31 July 2000 in charge of airport operations, reporting to DOTI Official 1, and continued in this role until 30 September 2001. Engineering expertise was provided by a series of engineers seconded from the armed forces of a United Nations member state, specifically Airport Engineer 1, Airport Engineer 2, and Airport Engineer 3, and later by a consultant from the Consulting Company.

On 1 July 2002, the responsibility for the administration of the Airport passed from Pillar II to the Kosovo Trust Agency (KTA) and Pillar IV. The Divisional Manager was appointed. Under him were the PEAP Official and ATCS Official (Air Traffic Control Services).

On 1 April 2004 Pristina International Airport, which had until that time been under the jurisdiction of KFOR was handed over to civilian jurisdiction, under ICAO regulations.

It is against this background of change that procurement procedures relating to the following contract have been examined.""",until the end of june responsibility for the administration of the pristina airport was entrusted to the civil administration pillar (pillar ii) of unmik including official and official pillar ii supervised doti official (department of transport and infrastructure) the doti was later known as the transport sector of the unmik directorate of infrastructure affairs doti official left unmik at the end of june doti official was recruited by the doti as an international staff member on july in charge of airport operations reporting to doti official and continued in this role until september engineering expertise was provided by a series of engineers seconded from the armed forces of a united nations member state specifically airport engineer airport engineer and airport engineer and later by a consultant from the consulting company on july the responsibility for the administration of the airport passed from pillar ii to the kosovo trust agency (kta) and pillar iv the divisional manager was appointed under him were the peap official and atcs official (air traffic control services) on april pristina international airport which had until that time been under the jurisdiction of kfor was handed over to civilian jurisdiction under icao regulations it is against this background of change that procurement procedures relating to the following contract have been examined,end june responsibility administration pristina airport wa entrusted civil administration pillar pillar ii unmik including official official pillar ii supervised doti official department transport infrastructure doti wa later known transport sector unmik directorate infrastructure affair doti official left unmik end june doti official wa recruited doti international staff member july charge airport operation reporting doti official continued role september engineering expertise wa provided series engineer seconded armed force united nation member state specifically airport engineer airport engineer airport engineer later consultant consulting company july responsibility administration airport passed pillar ii kosovo trust agency kta pillar iv divisional manager wa appointed peap official atcs official air traffic control service april pristina international airport time jurisdiction kfor wa handed civilian jurisdiction icao regulation background change procurement procedure relating following contract examined,"[{'span': 'Pristina Airport', 'label': 'LOC', 'score': 0.9989320635795593, 'char_start_index': 74, 'char_end_index': 90}, {'span': 'Civil Administration Pillar', 'label': 'ORG', 'score': 0.8743925094604492, 'char_start_index': 112, 'char_end_index': 139}, {'span': 'United Nations', 'label': 'ORG', 'score': 0.9252796769142151, 'char_start_index': 737, 'char_end_index': 751}, {'span': 'Consulting Company', 'label': 'ORG', 'score': 0.9998177886009216, 'char_start_index': 878, 'char_end_index': 896}, {'span': 'Pillar II', 'label': 'LOC', 'score': 0.9876097440719604, 'char_start_index': 984, 'char_end_index': 993}, {'span': 'Kosovo Trust Agency', 'label': 'ORG', 'score': 0.9925685524940491, 'char_start_index': 1001, 'char_end_index': 1020}, {'span': 'KTA', 'label': 'ORG', 'score': 0.5049176216125488, 'char_start_index': 1022, 'char_end_index': 1025}]"
10.pdf,"""METHODOLOGY

This investigation was conducted pursuant to Executive Decision No 2003/16 on the establishment of the Investigation Task Force. The ITF investigators conducted an enquiry into the allegations raised by interviews with persons indicated to be witnesses and persons potentially implicated in the allegations; by obtaining documents from the Pristina Airport administration and from Pillar IV, which were then analysed for relevance to the inquiry at hand.

BACKGROUND INFORMATION

Pristina International Airport constitutes a state owned enterprise under Yugoslavian law. The assets of the airport include the runways, terminal buildings, hanger, fuel storage facilities and equipment. During the period covered by this investigation, from 2001 until 2003, they were maintained by the Public Enterprise Airport Pristina, (PEAP) in cooperation with Military Units of the Kosovo Force (KFOR). Pursuant to United Nations Security Council Resolution 1244 dated 10 June 1999, and UNMIK Regulation No 1/1999 dated 25 July 1999. UNMIK is mandated to administer the territory of Kosovo, including state owned and publicly owned assets. This includes Pristina International Airport.""",methodology this investigation was conducted pursuant to executive decision no on the establishment of the investigation task force the itf investigators conducted an enquiry into the allegations raised by interviews with persons indicated to be witnesses and persons potentially implicated in the allegations ; by obtaining documents from the pristina airport administration and from pillar iv which were then analysed for relevance to the inquiry at hand background information pristina international airport constitutes a state owned enterprise under yugoslavian law the assets of the airport include the runways terminal buildings hanger fuel storage facilities and equipment during the period covered by this investigation from until they were maintained by the public enterprise airport pristina (peap) in cooperation with military units of the kosovo force (kfor) pursuant to united nations security council resolution dated june and unmik regulation no dated july unmik is mandated to administer the territory of kosovo including state owned and publicly owned assets this includes pristina international airport,methodology investigation wa conducted pursuant executive decision establishment investigation task force itf investigator conducted enquiry allegation raised interview person indicated witness person potentially implicated allegation ; obtaining document pristina airport administration pillar iv analysed relevance inquiry hand background information pristina international airport constitutes state owned enterprise yugoslavian law asset airport include runway terminal building hanger fuel storage facility equipment period covered investigation maintained public enterprise airport pristina peap cooperation military unit kosovo force kfor pursuant united nation security council resolution dated june unmik regulation dated july unmik mandated administer territory kosovo including state owned publicly owned asset includes pristina international airport,"[{'span': 'Investigation Task Force', 'label': 'ORG', 'score': 0.9970687031745911, 'char_start_index': 117, 'char_end_index': 141}, {'span': 'Pristina Airport', 'label': 'LOC', 'score': 0.9985785484313965, 'char_start_index': 354, 'char_end_index': 370}, {'span': 'Pillar IV', 'label': 'LOC', 'score': 0.9918288588523865, 'char_start_index': 395, 'char_end_index': 404}, {'span': 'Public Enterprise Airport Pristina', 'label': 'LOC', 'score': 0.5057328939437866, 'char_start_index': 798, 'char_end_index': 832}, {'span': 'Military Units of the Kosovo Force', 'label': 'ORG', 'score': 0.98899906873703, 'char_start_index': 861, 'char_end_index': 895}, {'span': 'United Nations Security Council', 'label': 'ORG', 'score': 0.8386017680168152, 'char_start_index': 916, 'char_end_index': 947}, {'span': 'Kosovo', 'label': 'LOC', 'score': 0.9034125208854675, 'char_start_index': 1084, 'char_end_index': 1090}, {'span': 'Pristina International Airport', 'label': 'LOC', 'score': 0.9974743723869324, 'char_start_index': 1155, 'char_end_index': 1185}]"
10.pdf,"""Allegation 4:

(Specifically, that the Vendor produced its own test results to confirm the quality of its own work on the Cargo Apron, resulting in a conflict of interest.)

An interoffice memorandum from Staff member 2 to the Procurement Official, signed by DOTI Official 1 dated 18 October 2001, indicates that DOTI Official 1 authorised the soil stabilisation work. The memorandum also adds that the work was inadvertently not included in the original contract.

DOTI Official 2 told the ITF that in order to progress the cargo apron tender, he/she had to organise a geographical survey. He/she added that only after the tests were done could the tender go ahead. However, the evaluation report at paragraph 4 suggests that information on the nature of the ground does not appear to have been included in the tender documents. In addition, a letter from the Vendor to UNMIK and PEAP dated 27 June 2001, but apparently not received at UNMIK and PEAP until 17 October 2001, according to a manuscript note signed by Airport Engineer 1 at the bottom of the letter, suggests that it carried out its own soil tests.""",allegation (specifically that the vendor produced its own test results to confirm the quality of its own work on the cargo apron resulting in a conflict of interest ) an interoffice memorandum from staff member to the procurement official signed by doti official dated october indicates that doti official authorised the soil stabilisation work the memorandum also adds that the work was inadvertently not included in the original contract doti official told the itf that in order to progress the cargo apron tender heshe had to organise a geographical survey heshe added that only after the tests were done could the tender go ahead however the evaluation report at paragraph suggests that information on the nature of the ground does not appear to have been included in the tender documents in addition a letter from the vendor to unmik and peap dated june but apparently not received at unmik and peap until october according to a manuscript note signed by airport engineer at the bottom of the letter suggests that it carried out its own soil tests,allegation specifically vendor produced test result confirm quality work cargo apron resulting conflict interest interoffice memorandum staff member procurement official signed doti official dated october indicates doti official authorised soil stabilisation work memorandum also add work wa inadvertently included original contract doti official told itf order progress cargo apron tender heshe organise geographical survey heshe added test done could tender go ahead however evaluation report paragraph suggests information nature ground doe appear included tender document addition letter vendor unmik peap dated june apparently received unmik peap october according manuscript note signed airport engineer bottom letter suggests carried soil test,"[{'span': 'Cargo Apron', 'label': 'LOC', 'score': 0.3539670407772064, 'char_start_index': 123, 'char_end_index': 134}, {'span': 'UNMIK', 'label': 'ORG', 'score': 0.834706723690033, 'char_start_index': 872, 'char_end_index': 877}, {'span': 'PEAP', 'label': 'ORG', 'score': 0.8752278089523315, 'char_start_index': 882, 'char_end_index': 886}, {'span': 'UNMIK', 'label': 'ORG', 'score': 0.7860017418861389, 'char_start_index': 938, 'char_end_index': 943}, {'span': 'PEAP', 'label': 'ORG', 'score': 0.7784131169319153, 'char_start_index': 948, 'char_end_index': 952}]"
